                 species,common_name,length,weight,fullness,weight_stomach_full,               prey_name,year,station,  lat,    lon,habitat
      Anoplopoma_fimbria,    Sablefish_1ocean,343,430,100,20,                 Jellies,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,343,430,100,20,               Pteropods,1999,    ISB,58.24,-135.49, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,1140,29000,1,350,                   Empty,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,351,520,75,26,            Fish;Unknown,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,351,520,75,26,               Pteropods,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,347,530,125,64,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,332,410,125,22,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,349,470,10,9,               Pteropods,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,350,400,100,23,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,338,480,1,8,                   Empty,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,339,420,10,11,               Pteropods,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,369,510,10,10,               Pteropods,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,362,590,125,34,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,339,460,125,54,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,353,460,10,10,               Pteropods,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,349,505,125,49,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,338,440,125,37,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,351,490,125,36,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,345,425,125,29,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,351,510,125,51,        Fish;Juv._Salmon,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,345,420,125,11,               Pteropods,1999,    ISC,58.25,-135.44, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,335,415,1,9,                   Empty,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,362,640,25,15,            Fish;Capelin,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,362,640,25,15,          Fish;Quillfish,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,362,640,25,15,    Fish;Unident._Larvae,1999,    ISD,58.27,-135.4, Strait
    Oncorhynchus_kisutch,          Coho_Adult,634,3100,125,69,        Fish;Juv._Salmon,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,322,450,10,7,             Euphausiids,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,541,1600,1,22,                   Empty,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,468,1200,10,13,               Pteropods,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,501,1550,1,0,                   Empty,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,466,1050,1,10,                   Empty,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,464,1050,1,12,                   Empty,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,495,1300,10,19,               Pteropods,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,474,1300,75,20,              Zoeae;Crab,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,480,1200,1,25,               Pteropods,1999,    ISD,58.27,-135.4, Strait
   Theragra_chalcogramma,     Walleye_pollock,511,600,1,8,                   Empty,1999,    ISD,58.27,-135.4, Strait
     Trichodon_trichodon,       Pac._Sandfish,199,110,125,16.5,            Fish;Herring,1999,    LFC,58.35,-134.73,Inshore
   Platichthys_stellatus,     Starry_flounder,380,640,1,0,                   Empty,1999,    TKI,58.19,-134.2,Inshore
  Oncorhynchus_gorbuscha,          Pink_Adult,481,1300,75,71,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,481,1300,75,71,             Euphausiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,481,1300,75,71,    Fish;Unident._Larvae,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,481,1300,75,71,              Zoeae;Crab,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,472,1400,10,20,    Fish;Unident._Larvae,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,537,    nd,10,35,             Euphausiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,532,    nd,1,50,                   Empty,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,530,    nd,1,51,                   Empty,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,449,2000,100,25,             Euphausiids,1999,    UCB,58.1,-135.02, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,449,2000,100,25,              Zoeae;Crab,1999,    UCB,58.1,-135.02, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,446,1150,25,18,             Euphausiids,1999,    UCB,58.1,-135.02, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,446,1150,25,18,              Zoeae;Crab,1999,    UCB,58.1,-135.02, Strait
